pid,label,label_en,label_es,label_fr,link,section,genre,claimed_genre,claimed_genre_en,claimed_genre_es,claimed_genre_fr,access,status,language,creators,stewards,blurb_orig,blurb_en,blurb_es,blurb_fr,related_to,added_by,twitter,census_year,notes
cds162,Traveling Caribbean Heritage,,Patrimonio itinerante del Caribe,,https://www.kitlv.nl/traveling-caribbean-heritage/,Collections & Curations,Thematic Curations,exhibit,an exhibit,una exposición,,open,In Development,"en,nl",Rose Mary Allen et al. ,KITLV/Royal Netherlands Institute of Southeast Asian and Caribbean Studies,"In this project, Caribbean and Dutch scholars and cultural heritage specialists address these questions, identifying and questioning the dynamics of heritage formation, and developing a multi-generational human resource base as well as a digital infrastructure for the preservation of insular cultural heritage, for outreach activities, and ultimately for stimulating the sustainable development of these non-sovereign SIDS.","In this project, Caribbean and Dutch scholars and cultural heritage specialists address these questions, identifying and questioning the dynamics of heritage formation, and developing a multi-generational human resource base as well as a digital infrastructure for the preservation of insular cultural heritage, for outreach activities, and ultimately for stimulating the sustainable development of these non-sovereign SIDS.","En este proyecto, los estudiosos caribeños y holandeses y los especialistas del patrimonio cultural abordan estas preguntas, identificando y cuestionando la dinámica de la formación del patrimonio y desarrollo de una base de recursos humanos multi-generacional, así como una infraestructura digital para la preservación del patrimonio cultural insular, y, en última instancia, para estimular el desarrollo sostenible de estos territorios no soberanos.",,,Roopika Risam,@roopikarisam,2020,
cds163,The Puerto Rico Citizenship Archives Project,,El Proyecto de Archivos de Ciudadanía de Puerto Rico,,https://scholarscollaborative.org/PuertoRico/,Collections & Curations,Thematic Curations,digital archive,a digital archive,un archivo digital,,open,Stable,en,Charles R. Venator-Santiago ,University of Connecticut,The Puerto Rico Citizenship Archives Project (PRCAP) is part of a public repository designed to document the legal history of the extension of citizenship to the U.S. territories. The PRCAP provides a comprehensive overview of 120+ year story of debates over the extension of citizenship to Puerto Rico. It also provides public access to the key historical documents shaping this history. The main goal is to create a reliable public archive of primary documents that can foster new research projects on Puerto Rico and its relationship to the United States as well as on broader visions of U.S. citizenship.,The Puerto Rico Citizenship Archives Project (PRCAP) is part of a public repository designed to document the legal history of the extension of citizenship to the U.S. territories. The PRCAP provides a comprehensive overview of 120+ year story of debates over the extension of citizenship to Puerto Rico. It also provides public access to the key historical documents shaping this history. The main goal is to create a reliable public archive of primary documents that can foster new research projects on Puerto Rico and its relationship to the United States as well as on broader visions of U.S. citizenship.,"El Proyecto de Archivos de Ciudadanía de Puerto Rico (PRCAP) es parte de un repositorio público diseñado para documentar el historial legal de la extensión de la ciudadanía a los territorios de los Estados Unidos. El PRCAP proporciona una descripción general completa de 120 años de historia de debates sobre la extensión de la ciudadanía a Puerto Rico. También proporciona acceso público a los documentos históricos clave que conforman esta historia. El objetivo principal es crear un archivo público confiable de documentos primarios que puedan fomentar nuevos proyectos de investigación sobre Puerto Rico y su relación con los Estados Unidos, así como en las visiones más amplias de la ciudadanía de los Estados Unidos.",,,,,2020,
cds168,Manioc,,,Manioc,http://www.manioc.org/,Collections & Curations,Digital Libraries,digital library,a digital library,una biblioteca digital,une bibliothèque numérique,open,Active,fr,,"Université des Antilles, L'Université de Guyane","Manioc est une bibliothèque numérique spécialisée sur la Caraïbe, l'Amazonie, le Plateau des Guyanes et les régions ou centres d'intérêt liés à ces territoires. Vous y trouverez des documents textuels, sonores, iconographiques et des références concernant l'histoire culturelle, sociale, économique ou politique de ces pays.","Manioc is a digital library specializing in the Caribbean, the Amazon, the Guyana Plateau and the regions or centers of interest linked to these territories. You will find there textual, sound, iconographic documents and references concerning the cultural, social, economic or political history of these countries.","Manioc es una biblioteca digital especializada en el Caribe, la Amazonía, la meseta de Guyana y las regiones o centros de interés vinculados a estos territorios. Allí encontrará documentos y referencias textuales, sonoras, iconográficas sobre la historia cultural, social, económica o política de estos países.",,,,,2020,
cds17,Banque Numérique des Patrimoines Martiniquais,Digital Repository of Martinique's Patrimony,Repositorio digital del patrimonio martiniqués,,https://www.patrimoines-martinique.org/,Collections & Curations,Digital Libraries,banque numérique,a digital repository,un repositorio digital,,open,Active,fr,,,"Initiated by the former General Council of Martinique, the Banque Numérique des Patrimoines Martiniquais is an access portal to documentary resources on the cultural and historical heritage of Martinique backed by the geographic information system of Martinique (SIGMA).","Initiated by the former General Council of Martinique, the Banque Numérique des Patrimoines Martiniquais is an access portal to documentary resources on the cultural and historical heritage of Martinique backed by the geographic information system of Martinique (SIGMA).","Iniciado por el ex Consejo General de Martinica, el Banque Numérique des Patrimoines Martiniquais es un portal de acceso a los recursos documentales sobre el patrimonio cultural e histórico de Martinica respaldados por el Sistema de Información Geográfica de Martinica (SIGMA).",,,,,2020,
cds170,"Documentation of the Sidney Martin Library Art Collection, UWI (Cave Hill Campus)",,,,https://heritedge.foundation/processing-and-documenting-the-sidney-martin-library-art-collection/,Collections & Curations,Thematic Curations,documentation,documentation,,,private,In Development,en,Amalia S. Levi,,"Project to document the Sidney Martin Library collection with archival material and photos. Public-facing omeka site created, but not yet activated.","Project to document the Sidney Martin Library collection with archival material and photos. Public-facing omeka site created, but not yet activated.",,,,Amalia S. Levi,@amaliasl,2020,
cds171,Archivo General de la Nación: Collectiones Digitales,,Revista ARC,,http://colecciones.agn.gob.do/opac/index.php?codopac=OPPUB,Collections & Curations,Digital Libraries,colección digital,a digital collection,una colección digital,,open,Stable,es,,Archivo Nacional de la Nación,Servicio de consulta de documentos mediante software de gestión archivística que facilita el acceso a las informaciones contenidas en los fondos y colecciones documentales digitalizados en el AGN.,"The General Archive of the Nation is the main archival institution in the Dominican Republic, where documents dating from the founding of the Republic and others inherited from the colonial era are kept, which form a significant part of the Dominican documentary heritage. This portal offers a document consultation service that facilitates access to the information contained in the archives and to the documentary digitized collections of the AGN.","El AGN es la principal institución archivística del país, donde se custodian documentos que datan de la fundación de la República y otros heredados de la época colonial, que forman una parte significativa del patrimonio documental dominicano. Este portal ofrece un servicio de consulta de documentos mediante software de gestión archivística que facilita el acceso a las informaciones contenidas en los fondos y colecciones documentales digitalizados en el AGN.",,,Alex Gil,@elotroalex,2021,
cds173,The Things We Carried,,,,https://www.saada.org/thethingswecarried,Collections & Curations,Thematic Curations,digital archive and multimedia exhibit,digital archive and multimedia exhibit,un archivo digital y una exposición multimedia,,open,Active,en,Gaiutra Bahadur,The South Asian American Digital Archive (SAADA),"A collection of oral histories, photographs, documents, ephemera, poetry, and essays documenting the migration of Guyanese rooted in indenture to the United States and tracing black-brown relationships and solidarities, dating to the era of American nativist exclusion. Created with the South Asian American Digital Archive (SAADA), through an Andrew W. Mellon Foundation-funded fellowship for creating community-based archives.","A collection of oral histories, photographs, documents, ephemera, poetry, and essays documenting the migration of Guyanese rooted in indenture to the United States and tracing black-brown relationships and solidarities, dating to the era of American nativist exclusion. Created with the South Asian American Digital Archive (SAADA), through an Andrew W. Mellon Foundation-funded fellowship for creating community-based archives.","Una colección de historias orales, fotografías, documentos, efímeros, poesía y ensayos que documentan la migración de Guyaneses arraigados en el contrato de trabajo sin paga a los Estados Unidos, y rastrear relaciones y solidaridades de Negros y sud-asiaticos, que datan de la era de la exclusión nativista estadounidense. Creado con el Archivo Digital Americano Asiático del Sur (SAADA), a través de una beca financiada por la Fundación Andrew W. Mellon para crear archivos basados ​​en las contribuciones comunitarias.",,,Gaiutra Bahadur,@gbahadur,2021,
cds177,Rendering Revolution,,Representando la revolución,,https://renderingrevolution.ht/,Collections & Curations,Thematic Curations,sartorial approaches,sartorial approaches,enfoques sartoriales,,open,Active,"en,ht","Siobhan Meï, Jonathan Square, et al",,Rendering Revolution: Sartorial Approaches to Haitian History is a digital humanities project and educational tool that documents the significant role that fashion and clothing played in constructing visions of freedom during and after the Haitian Revolution.,Rendering Revolution: Sartorial Approaches to Haitian History is a digital humanities project and educational tool that documents the significant role that fashion and clothing played in constructing visions of freedom during and after the Haitian Revolution.,&quot;Rendering Revolution: Sartorial Approaches to Haitian History&quot; (Revolución de la representación: enfoques sartoriales para la historia haitiana) es un proyecto de humanidades digitales y una herramienta educativa que documenta el importante papel que desempeñan la moda y la ropa en la construcción de visiones de libertad durante y después de la revolución haitiana.,,,Alex Gil,@elotroalex,2021,
cds178,Haiti Digital Library,,Biblioteca digital de Haití,,https://sites.duke.edu/haitilab/,Collections & Curations,Thematic Curations,digital library,a digital library,una biblioteca digital,,open,In Development,"en,ht,fr",Haiti Laboratory at Duke University,Haiti Laboratory at Duke University,"This site, produced by Duke’s Haiti Lab, is meant to serve as a guide and portal to online resources about Haiti, specifically historical materials relating to the country and writings by Haitian authors. It is geared towards providing maximum access to these resources to Haitian readers. It is a work in progress: there is sometimes a lag between uploading documents in English and translating the material into the other languages. We welcome your comments about the organization of the site, as well as suggestions for materials you would like to see digitized and made available online.","This site, produced by Duke’s Haiti Lab, is meant to serve as a guide and portal to online resources about Haiti, specifically historical materials relating to the country and writings by Haitian authors. It is geared towards providing maximum access to these resources to Haitian readers. ","Este sitio, producido por el laboratorio de Haití de la universidad de Duke, está destinado a servir como guía y portal a recursos en línea sobre Haití, específicamente materiales históricos relacionados con el país y escritos por los autores haitianos. Está orientado a proporcionar el máximo acceso a estos recursos a los lectores haitianos. ",,,Alex Gil,@elotroalex,2021,
cds18,Biblioteca Nacional Aruba: Coleccion Digital,Aruba National Library: Digital Collection,,,https://digital.bna.aw,Collections & Curations,Digital Libraries,colección digital,unaa colección digital,a digital collection,,open,Active,"pap, en, es, nl",Biblioteca Nacional Aruba,Internet Archive,Digital Collection of the Aruba National Library.,Digital Collection of the Aruba National Library.,Colección digital de la Biblioteca Nacional de Aruba.,,,Alex Gil,@elotroalex,2020,
cds180,Fanm Rebèl,Rebel Women,Mujer Rebelde,Femme Rebelle,https://www.fanmrebel.com/,Collections & Curations,Thematic Curations,"co-curated open access digital archive, gallery, resource centre and hub of expertise and further learning","a co-curated open access digital archive, gallery, resource centre and hub of expertise and further learning","archivo digital, galería, centro de recursos y centro de especialización y aprendizaje continuo de acceso abierto y co-curado",,open,In Development,en,[A network],,"‘Fanm Rebèl’, a Haitian Kreyòl term meaning ‘rebel women’, is a 3-year research project sponsored by the Leverhulme Trust and the Institute for Black Atlantic Research at the University of Central Lancashire. Led by Dr Nicole Willson, the project seeks to excavate stories of women in the Haitian Revolution. Spanning a 100-year trajectory, from 1750-1850, it broadens the conventional scope of the Haitian revolutionary calendar to encompass the radical acts of female insurgency and marronage that predate the Ogé Rebellion of 1790 and the insurgency of 1791, and extends beyond the birth of the Haitian Republic in 1804 to encompass the life cycle of Marie-Louise Christophe, first Queen of Haiti. It explores narratives of resistance articulated through spiritual practice, domestic labour, creativity, survival, subterfuge and armed combat. ","‘Fanm Rebèl’, a Haitian Kreyòl term meaning ‘rebel women’, is a 3-year research project sponsored by the Leverhulme Trust and the Institute for Black Atlantic Research at the University of Central Lancashire. Led by Dr Nicole Willson, the project seeks to excavate stories of women in the Haitian Revolution. Spanning a 100-year trajectory, from 1750-1850, it broadens the conventional scope of the Haitian revolutionary calendar to encompass the radical acts of female insurgency and marronage that predate the Ogé Rebellion of 1790 and the insurgency of 1791, and extends beyond the birth of the Haitian Republic in 1804 to encompass the life cycle of Marie-Louise Christophe, first Queen of Haiti. It explores narratives of resistance articulated through spiritual practice, domestic labour, creativity, survival, subterfuge and armed combat. ","Fanm Rebèl', un término haitiano Kreyòl que significa 'Mujer rebelde', es un proyecto de investigación de 3 años patrocinado por el fondo de Leverhulme y el Instituto de Investigación Atlántico Negra en la Universidad de Central Lancashire (Inglaterra). Dirigido por la Dra. Nicole Willson, el proyecto busca excavar historias de mujeres en la Revolución Haitiana. Abarcando una trayectoria de 100 años, desde 1750-1850, amplía el alcance convencional del calendario revolucionario haitiano para abarcar los actos radicales de insurgencia y marronaje femenino que anteceden a la rebelión de Ogé de 1790 y la insurgencia de 1791, y se extiende más allá del nacimiento de la República Haitiana en 1804 para abarcar el ciclo de vida de Marie-Louise Christophe, la primera reina de Haití. Explora las narrativas de resistencia articuladas a través de la práctica espiritual, el trabajo doméstico, la creatividad, la supervivencia, el subterfugio y el combate armado.",,,Alex Gil,@elotroalex,2021,
cds182,I Am Taíno,,soy taino,,https://www.harukasakaguchi.com/original-new-yorkers,Collections & Curations,Thematic Curations,portrait series,a portrait series,serie de retratos,,open,Stable,en,Haruka Sakaguchi,,"""I Am Taíno"" is a portrait series addressing paper genocide and the manipulation of Taíno identity. The Taíno are the indigenous peoples of the Spanish-speaking Caribbean who were believed to be extinct up until recently, partly because the racial category for being indigenous (""indio"") was removed from census reports in the early 1800s, and they were forced to identify as either white, black or mixed on forthcoming census reports. The Taíno refer to this process as ""paper genocide.""","&quotI Am Taíno&quot is a portrait series addressing paper genocide and the manipulation of Taíno identity. The Taíno are the indigenous peoples of the Spanish-speaking Caribbean who were believed to be extinct up until recently, partly because the racial category for being indigenous (&quotindio&quot) was removed from census reports in the early 1800s, and they were forced to identify as either white, black or mixed on forthcoming census reports. The Taíno refer to this process as &quotpaper genocide.&quot","&quot;Soy taíno&quot; es una serie de retratos que aborda el genocidio documental, y la manipulación de la identidad Taína. El Taíno son los pueblos indígenas del Caribe de habla hispana que se creían extintos hasta hace poco, en parte porque la categoría racial de indígena (&quot;Indio&quot;) se eliminó de los informes del censo a principios del siglo XIX, y se vieron obligados a identificarse como blancos, negros o mezclas en los próximos informes del censo. Soy Taíno se refiere a este proceso como &quot;genocidio documental&quot;.",,,Alex Gil,@elotroalex,2021,
cds184,A History of Dominican Music in the United States,,,,http://dominicanmusicusa.com/,Collections & Curations,Thematic Curations,resource for exploring historical map images,a resource for exploring historical map images,un recurso para explorar imágenes de mapas históricas,,open,,,,,,"A History of Dominican Music in the U.S. is the first open-source digital tool narrating the history of Dominican music as it developed during the past century in the United States. By presenting multi-media resources, grounded in historical contexts and speaking to larger issues of immigration, identity, and diversity, this online platform provides a new approach to understanding Dominican music.","Una historia de la música dominicana en los EE. UU. Es la primera herramienta digital de acceso abierto que narra la historia de la música dominicana a medida que se desarrolló durante el siglo pasado en los Estados Unidos. Al presentar recursos multimedia, basados en contextos históricos y hablar sobre temas más amplios de inmigración, identidad y diversidad, esta plataforma en línea brinda un nuevo enfoque para comprender la música dominicana.",,,,,2021,
cds185,Ro(u)ted by Our Stories,,Enrutado por nuestras historias,,https://www.indocaribbeanstories.org/,Collections & Curations,Thematic Curations,intergenerational oral history archive,an intergenerational oral history archive,un archivo de historia oral intergeneracional,,open,Active,en,[The Team],[The Team],"Ro(u)ted By Our Stories is an intergenerational oral history archive dedicated to capturing, preserving and sharing the stories of the Indo-Caribbean diaspora's silenced voices. This archive works to center the stories of womxn and gender expansive folx at various intersections of identity including but not limited to those who identify as LGBTQIA+, mixed-race, Muslim, and/or working class. It is a living, growing archive of stories from communities who have inherited the legacies of indenture, rooted in histories and traditions of oral storytelling. In the tradition of Indo-Caribbean feminist thinkers and inspired by the work of diasporic writers like Paul Gilroy, we are inspired to document our heritage (“roots”) but also our migration stories (“routes”)","&quot;Ro(u)ted By Our Stories&quot; is an intergenerational oral history archive dedicated to capturing, preserving and sharing the stories of the Indo-Caribbean diaspora's silenced voices. This archive works to center the stories of womxn and gender expansive folx at various intersections of identity including but not limited to those who identify as LGBTQIA+, mixed-race, Muslim, and/or working class. It is a living, growing archive of stories from communities who have inherited the legacies of indenture, rooted in histories and traditions of oral storytelling. In the tradition of Indo-Caribbean feminist thinkers and inspired by the work of diasporic writers like Paul Gilroy, we are inspired to document our heritage (“roots”) but also our migration stories (“routes”)","&quot;Ro(u)ted By Our Stories&quot; (Enrutados por nuestras historias) es un archivo de historia oral intergeneracional dedicado a capturar, preservar y compartir las historias de las voces silenciadas de la diáspora del Indo-Caribe. Este archivo centraliza las historias de varias intersecciones de identidad, incluidas, entre otras, las personas que se identifican como LGBTQIA+, de raza mixta, los musulmanes y/o la clase obrera. Es un archivo vivo y creciente de historias de las comunidades que han heredado los legados del trabajo por contrato sin paga, arraigados en historias y tradiciones de narración oral. Siiguiendo la tradición de pensadores feministas indo-caribeñas e inspirados en el trabajo de los escritores diáspóricos como Paul Gilroy, documentamos nuestro patrimonio (&quot;raíces&quot;), pero también nuestras historias de migración (&quot;rutas&quot;)",,,Alex Gil,@elotroalex,2021,https://www.instagram.com/routedbyourstories/
cds186,The Oviedo Project at Vassar,,,,https://pages.vassar.edu/oviedo/gonzalo-fernandez-de-oviedo/,Collections & Curations,Scholarly Editions,a collaborative digital translation and scholarly project,a collaborative digital translation and scholarly project,una traducción digital colaborativa y un proyecto académico,,open,Active,en,,,,"The Oviedo Project is a collaborative digital translation and scholarly project that aims at producing a complete English translation of the complete text of Gonzalo Fernández de Oviedo’s Historia General de las Indias, the first ever. Produced by Vassar students, it will result in a full translation into English of the complete text, as well as critical and interpretative material. The translation and annotation work will bring together the editors and Vassar students in collaborative scholarly work.","El Proyecto Oviedo es un proyecto académico y de traducción digital colaborativa que tiene como objetivo producir una traducción completa al inglés del texto completo de la <em>Historia General de las Indias</em> de Gonzalo Fernández de Oviedo, por primera vez en la historia. Producido por estudiantes de Vassar, resultará en una traducción completa al inglés del texto integral, así como material crítico e interpretativo. El trabajo de traducción y anotación reunirá a los editores y estudiantes de Vassar en un trabajo académico colaborativo.",,,,,2021,
cds196,Cahier d’un retour au pays natal: le manuscrit de 1939,Notebook of a Return to the Native Land: The 1939 Manuscript,Cuaderno de un retorno al país natal: Manuscrito de 1939,,https://cahier1939ms.github.io/,Collections & Curations,Scholarly Editions,une edition,an edition,una edición,,open,In Development,"fr,en","Kora Verón, Kaiama Glover, Alex Gil",,"Le jeune poète Aimé Césaire, venu de la Martinique, élabore Cahier d'un retour au pays natal à partir de 1935, alors qu'il est élève à l'École normale supérieure de la rue d'Ulm (à Paris). Son poème fondateur paraît en août 1939, à la veille de la guerre dans la revue Volontés. Le tapuscrit du poème envoyé par Césaire à son éditeur est conservé par les archives de l'Assemblée nationale. Vous pouvez le consulter, avec une transcription linéarisée en regard. Une transcription simplifiée du Cahier d'un retour au pays natal est aussi disponible, ainsi que sa traduction en anglais. Une édition critique s'adressant plus particulièrement aux étudiants est en préparation et sera disponible en 2021.","The young poet from Martinique, Aimé Césaire, wrote &quot;Cahier d'un retour au pays natal&quot; from 1935, while he was a student at the École normale supérieure in rue d'Ulm (in Paris). His inaugural poem appeared in August 1939, on the eve of the war in the review <em>Volontés</em>. The typescript of the poem sent by Césaire to his publisher is kept by the archives of the National Assembly. You can consult it in this edition, with a linearized transcription. A simplified transcription of the Notebook is also available, as well as its translation into English. ","El joven poeta martiniqueño Aimé Césaire escribió &quot;Cahier d'un retour au pays natal&quot; desde 1935, mientras estudiaba en la École normale supérieure de la rue d'Ulm (en París). Su poema inaugural apareció en agosto de 1939, en vísperas de la guerra, en la revista <em> Volontés </em>. El texto mecanografiado del poema enviado por Césaire a su editor se conserva en los archivos de la Asamblea Nacional. Puedes consultarlo en esta edición, con una transcripción linealizada. También está disponible una transcripción simplificada del Cuaderno, así como su traducción al inglés.",,,Alex Gil,@elotroalex,2021,
cds2,...... et les chiens se taisaient,..... And the Dogs Were Silent,...... y los perros callaban,,http://cesaire.elotroalex.com/chiens/,Collections & Curations,Scholarly Editions,a scholarly edition,a scholarly edition,una edición académica,,open,Stable,"en,fr",Alex Gil,,"During the height of the fascist Vichy regime in Martinique, Aimé Césaire was secretly at work on a forceful historical drama with the title &quot; ...... Et les chiens se taisaient&quot; —&quot; ...... and the Dogs Were Silent.&quot;  The plot of the drama follows the events of the Haitian Revolution and the tragic destiny of its leader, Toussaint L’Ouverture, determined to die betrayed in a frozen cell in the Jura mountains rather than compromise his truth.","During the height of the fascist Vichy regime in Martinique, Aimé Césaire was secretly at work on a forceful historical drama with the title &quot; ...... Et les chiens se taisaient&quot; —&quot; ...... and the Dogs Were Silent.&quot;  The plot of the drama follows the events of the Haitian Revolution and the tragic destiny of its leader, Toussaint L’Ouverture, determined to die betrayed in a frozen cell in the Jura mountains rather than compromise his truth.","Durante la altura del régimen fascista de Vichy en Martinica, Aimé Césaire escribió en secreto un impactante drama histórico con el título &quot;...... et les chiens se taisaient&quot; (&quot; ...... y los perros callaban.&quot;) La trama del drama sigue los eventos de la revolución haitiana y el trágico destino de su líder, Toussaint l'Ouverture, decidido a morir traicionado en una celda helada en las montañas de Jura en Francia en lugar de comprometer su verdad.",,,Alex Gil,@elotroalex,2020,
cds21,Academia Historia Dominicana: Revista Clío,Dominican Academy of History: Clio Journal,,,https://www.academiadominicanahistoria.org.do/?page_id=53,Collections & Curations,Thematic Curations,publicaciones,publications,publicaciones,,open,Active,es,Dr. Federico Henríquez y Carvajal,,"The Dominican Academy of History was created by Decree No. 186 of July 23, 1931. With the primary objective of knowing and studying the past in general, and mainly that of the Dominican nation.","Organ of the Dominican Academy of History, created by Decree No. 186 of July 23, 1931 with the primary objective of knowing and studying the past in general, and mainly that of the Dominican nation.","Organo de la Academia Dominicana de Historia fue, creada por el Decreto No. 186 del 23 de julio de 1931 con el objetivo principal de conocer y estudiar el pasado en general, y principalmente el de la nación dominicana.",,,,,2020,
cds25,Archivo Mesoamericano,Meso-American Archive,,,https://archivomesoamericano.org/,Collections & Curations,Thematic Curations,archivo,an archive,un archivo,,open,Active,"es,en",,"Digital Collection Services, Indiana University","El Archivo Mesoamericano representa un archivo digital que consiste de grabaciones históricas y etnográficas, montado en colaboración con estas instituciones respectivas: el Centro de Investigaciones y Estudios Superiores en Antropología Social (CIESAS, México), el Instituto de Historia de Nicaragua y Centroamérica (IHNCA, Nicaragua), y el Museo de la Palabra y la Imagen (MUPI, El Salvador). / Archivo Mesoamericano is a digital archive of annotated historical and ethnographic video materials created in collaboration with the Center for Research and Advanced Studies in Social Anthropology (CIESAS) in Mexico, the Institute of History of Nicaragua and Central America (IHNCA) in Nicaragua, and the Museum of the Word and the Image (MUPI) in El Salvador.","The Mesoamerican archive represents a digital archive consisting of historical and ethnographic recordings, assembled in collaboration with these respective institutions: the Social Anthropology Research and Research Center (CIESAS, Mexico), the Institute of History of Nicaragua and Central America (IHNCA, Nicaragua), and the Museum of the Word and the image (Mupi, El Salvador). / Mesoamerican File IS A Digital Archive of Annotated Historical and Ethnographic Video Materials Created in Collaboration With The Center For Research and Advanced Studies in Social Anthropology (CIESAS) IN MEXICO, The Institute of History of Nicaragua and Central America (IHNCA) in Nicaragua, and The Museum of the Word and The Image (MUPI) in El Salvador.","El Archivo Mesoamericano representa un archivo digital que consiste de grabaciones históricas y etnográficas, montado en colaboración con estas instituciones respectivas: el Centro de Investigaciones y Estudios Superiores en Antropología Social (CIESAS, México), el Instituto de Historia de Nicaragua y Centroamérica (IHNCA, Nicaragua), y el Museo de la Palabra y la Imagen (MUPI, El Salvador). / Archivo Mesoamericano is a digital archive of annotated historical and ethnographic video materials created in collaboration with the Center for Research and Advanced Studies in Social Anthropology (CIESAS) in Mexico, the Institute of History of Nicaragua and Central America (IHNCA) in Nicaragua, and the Museum of the Word and the Image (MUPI) in El Salvador.",,,Mary Borgo Ton,@maryeborgo,2020,
cds27,The Barbadian,,El Barbadense,,https://eap.bl.uk/project/EAP1251,Collections & Curations,Thematic Curations,digitization,a digitization,una digitalización,,open,Active,en,"Amalia S. Levi, et al",Endangered Archives Programme,Digitized historical newspaper &quot; The Barbadian&quot;  (1822-1863).,Digitized historical newspaper &quot; The Barbadian&quot;  (1822-1863).,Periódico histórico digitalizado & quot; El barbadiano & quot; (1822-1863).,,,Amalia S. Levi,@amaliasl,2020,
cds28,Barbados Ephemera Collection,,Colección de efímeras de Barbados,,https://meap.library.ucla.edu/ephemera-barbados,Collections & Curations,Thematic Curations,digitized ephemera,digitized ephemera,efímera digitalizada,,open,In Development,en,Amalia S. Levi; Modern Endangered Archives Program,Modern Endangered Archives Program,Digitized ephemera material from the Barbados Archives.,Digitized ephemera material from the Barbados Archives.,Material digitalizado de efímeras de los archivos Barbados.,,,Amalia S. Levi,@amaliasl,2020,
cds29,Caribbean Literature,,Literatura caribeña,,https://alexanderstreet.com/products/caribbean-literature,Collections & Curations,Thematic Curations,collection,a collection,una colección,,vendor,Active,en,,Alexander Street Press,"The literature of the Caribbean is exceptional, both in language and subject. More than a million and a half Africans, along with many Indians and South Asians, were brought to the Caribbean between the 15th and 19th centuries. Today, their descendants are active in literature and the arts, producing literature with strong and direct ties to traditional African expressions. This literary connection, combined with the tales of survival, exile, resistance, endurance, and emigration to other parts of the Americas, makes for a body of work that is essential for the study of the Caribbean and the Black Diaspora—and indeed central for our understanding of the New World.","The literature of the Caribbean is exceptional, both in language and subject. More than a million and a half Africans, along with many Indians and South Asians, were brought to the Caribbean between the 15th and 19th centuries. Today, their descendants are active in literature and the arts, producing literature with strong and direct ties to traditional African expressions. This literary connection, combined with the tales of survival, exile, resistance, endurance, and emigration to other parts of the Americas, makes for a body of work that is essential for the study of the Caribbean and the Black Diaspora—and indeed central for our understanding of the New World.","La literatura del Caribe es excepcional, tanto en lenguaje como en sujeto. Más de un millón y medio de africanos, junto a muchos indios y asiáticos del sur, fueron llevados al Caribe entre los siglos XV y XIX. Hoy, sus descendientes se mantienen activos en la literatura y las artes, produciendo literatura con vínculos fuertes y directos a expresiones africanas tradicionales. Esta conexión literaria, combinada con los cuentos de supervivencia, exilio, resistencia, resistencia y emigración a otras partes de las Américas, hace que un cuerpo de trabajo sea esencial para el estudio del Caribe y la diáspora negra, y, de hecho, centrales para nuestra comprensión del Nuevo Mundo.",,,Alex Gil,@elotroalex,2020,
cds31,Digital Library of the Caribbean,,Biblioteca digital del Caribe,,https://www.dloc.com/,Collections & Curations,Digital Libraries,digital library,a digital library,una biblioteca digital,,open,Active,"en,fr,es,nl,ht",UFL/FIU,UFL/FIU,The Digital Library of the Caribbean (dLOC) is a cooperative digital library for resources from and about the Caribbean and circum-Caribbean.,The Digital Library of the Caribbean (dLOC) is a cooperative digital library for resources from and about the Caribbean and circum-Caribbean.,La Biblioteca Digital del Caribe (DLOC) es una biblioteca digital cooperativa con recursos sobre el Caribe y el Circum-Caribe.,,,Alex Gil,@elotroalex,2020,
cds32,CUNY Dominican Institute Publications ,,Publicaciones del Instituto Dominicano CUNY ,,https://academicworks.cuny.edu/dsi_pubs/,Collections & Curations,Thematic Curations,publications,publications,publicaciones,,open,Stable,en,,CUNY Dominican Studies Institute,"CUNY Academic Works is a service of the CUNY Libraries dedicated to collecting and providing access to the research, scholarship, and creative and pedagogical work of the City University of New York. In service to CUNY’s mission as a public university, content in Academic Works is freely available to all.","CUNY Academic Works is a service of the CUNY Libraries dedicated to collecting and providing access to the research, scholarship, and creative and pedagogical work of the City University of New York. In service to CUNY’s mission as a public university, content in Academic Works is freely available to all.","CUNY Academic Works es un servicio de las bibliotecas de CUNY dedicadas a recopilar y brindar acceso a la investigación, estudio y trabajo creativo y pedagógico de la Universidad de la Ciudad de Nueva York. En servicio a la misión de CUNY como universidad pública, el contenido de las obras académicas está disponible gratuitamente para todos.",,,,,2020,
cds34,Caribbean Memory Project,,Proyecto Memoria del Caribe,,https://www.caribbeanmemoryproject.com/,Collections & Curations,Thematic Curations,collection of archives,a collection of archives,una colección de archivos,,open,Active,en,"Kevin Adonis Browne, Dawn Cumberbatch",,"​The Caribbean Memory Project promotes public awareness and participation in the collection and circulation of everyday archives for cultural, social, and historical research.","​The Caribbean Memory Project promotes public awareness and participation in the collection and circulation of everyday archives for cultural, social, and historical research.","El proyecto de memoria del Caribe promueve la conciencia pública y la participación en la recolección y circulación de los archivos cotidianos para la investigación cultural, social e histórica.",,,Kaiama L. Glover,@inthewhirld,2020,
